original	reordered
Pianko Adam	Adam Pianko
Christie Agatha	Agatha Christie
Natanson Agathe	Agathe Natanson
Jaoui Agnès	Agnès Jaoui
Barroux Alain	Alain Barroux
Beach Alain	Alain Beach
Bernier Alain	Alain Bernier
Bertheau Alain	Alain Bertheau
Bouvette Alain	Alain Bouvette
Duclos Alain	Alain Duclos
Franck Alain	Alain Franck
Ganas Alain	Alain Ganas
Krief Alain	Alain Krief
Robak Alain	Alain Robak
Vandamme Alain	Alain Vandamme
Gercourt Albert	Albert Gercourt
Médina Albert	Albert Médina
Pecker Alexandra	Alexandra Pecker
Arnoux Alexandre	Alexandre Arnoux
Klimenko Alexandre	Alexandre Klimenko
Rivemale Alexandre	Alexandre Rivemale
Delacour Alfred	Alfred Delacour
Sapritch Alice	Alice Sapritch
Tissot Alice	Alice Tissot
Bertrand Aline	Aline Bertrand
Bonnardel André	André Bonnardel
Burgère André	André Burgère
Buroche André	André Buroche
Cellier André	André Cellier
Delaure André	André Delaure
Falcon André	André Falcon
Fernez André	André Fernez
Gilles André	André Gilles
Helena André	André Helena
Lambert André	André Lambert
Lesage André	André Lesage
Oumansky André	André Oumansky
Picot André	André Picot
Reybaz André	André Reybaz
Rouland André	André Rouland
Thorent André	André Thorent
Valmy André	André Valmy
Var André	André Var
Villard André	André Villard
Wasley André	André Wasley
Laberty Andrée	Andrée Laberty
Tainsy Andrée	Andrée Tainsy
Bastiani Ange	Ange Bastiani
Beaucaire Ange	Ange Beaucaire
Gilles Ange	Ange Gilles
Gaylor Anna	Anna Gaylor
Alexandre Anne	Anne Alexandre
Amado Anne	Anne Amado
Caprile Anne	Anne Caprile
Deleuze Anne	Anne Deleuze
Doat Anne	Anne Doat
Fournet Anne	Anne Fournet
Gabory Anne	Anne Gabory
Kerylen Anne	Anne Kerylen
Perez Anne	Anne Perez
Rochant Anne	Anne Rochant
Rousselet Anne	Anne Rousselet
Wartel Anne	Anne Wartel
Poivre Annette	Annette Poivre
Allières Annick	Annick Allières
Bertho Annick	Annick Bertho
Blancheteau Annick	Annick Blancheteau
Fougery Annick	Annick Fougery
Korrigan Annick	Annick Korrigan
Bertin Annie	Annie Bertin
Dana Annie	Annie Dana
Ducaux Annie	Annie Ducaux
Fargue Annie	Annie Fargue
Girardot Annie	Annie Girardot
Mercier Annie	Annie Mercier
Roudier Annie	Annie Roudier
Romand Anny	Anny Romand
Ferjac Anouk	Anouk Ferjac
Dulery Antoine	Antoine Dulery
Marin Antoine	Antoine Marin
Moya Antoinette	Antoinette Moya
Stuart Antony	Antony Stuart
Muratore Ariane	Ariane Muratore
Accart Arlette	Arlette Accart
Josselin Arlette	Arlette Josselin
Merry Arlette	Arlette Merry
Thomas Arlette	Arlette Thomas
Lanoux Armand	Armand Lanoux
Meffre Armand	Armand Meffre
Bedouët Arnaud	Arnaud Bedouët
Teneze Arnaud	Arnaud Teneze
Rosanes Becky	Becky Rosanes
Guibert Benoît	Benoît Guibert
Dautun Bérengère	Bérengère Dautun
Lange Bernadette	Bernadette Lange
Dhéran Bernard	Bernard Dhéran
Dumaine Bernard	Bernard Dumaine
Fresson Bernard	Bernard Fresson
Granger Bernard	Bernard Granger
Hubrenne Bernard	Bernard Hubrenne
Latour Bernard	Bernard Latour
Lavalette Bernard	Bernard Lavalette
